Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Naagmani Naag Ka Gehna,24-Aug-18,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Mile 22 (English),24-Aug-18,0 Cr N.A,0.29 Cr,0 Cr N.A,0.29 Cr
Satyameva Jayate,15-Aug-18,19.50 Cr,52.25 Cr,68.25 Cr,80.50 Cr
Gold,15-Aug-18,25.25 Cr,70.05 Cr,87.30 Cr,104.72 Cr
Atal Faisla,10-Aug-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Page 16,10-Aug-18,0 Cr N.A,0 Cr N.A,0.006 Cr,0.006 Cr
Lashtam Pashtam,10-Aug-18,0 Cr N.A,0 Cr N.A,0.07 Cr,0.07 Cr
Hill View Villa,10-Aug-18,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Unmaad,10-Aug-18,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Vishwaroop II,10-Aug-18,0 Cr N.A,0 Cr N.A,4.08 Cr,4.08 Cr
The Meg (English),10-Aug-18,1.20 Cr,5.25 Cr,7 Cr,8.35 Cr
Fanney Khan,3-Aug-18,2.15 Cr,7.15 Cr,9.85 Cr,10.55 Cr
Mulk,3-Aug-18,1.68 Cr,8.16 Cr,12.81 Cr,21.10 Cr
Karwaan,3-Aug-18,1.60 Cr,8.10 Cr,12.40 Cr,19.22 Cr
Adrishya,3-Aug-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Ek Shatir Gunahgaar,27-Jul-18,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Nawabzaade,27-Jul-18,0.50 Cr,2.35 Cr,3.75 Cr,4.05 Cr
Mission: Impossible – Fallout (English),27-Jul-18,10 Cr,37 Cr,54.25 Cr,80.20 Cr
When Obama Loved Osama,27-Jul-18,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
2001 Dead One,27-Jul-18,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
Mridang,27-Jul-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Saheb Biwi Aur Gangster 3,27-Jul-18,1.25 Cr,4.65 Cr,6.60 Cr,6.68 Cr
Dhadak,20-Jul-18,8.71 Cr,33.67 Cr,51.56 Cr,74.19 Cr
Skyscraper (English),20-Jul-18,1 Cr,4.77 Cr,7.30 Cr,8.40 Cr
Hotel Transylvania 3: Summer Vacation (English),20-Jul-18,0 Cr N.A,2.65 Cr,3.57 Cr,4.04 Cr
Yeh Kaisa Tigdam,13-Jul-18,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Teri Bhabhi Hain Pagle,13-Jul-18,0.07 Cr,0.21 Cr,0.36 Cr,0.36 Cr
Sarkaar Haazir Ho,13-Jul-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Soorma,13-Jul-18,3.20 Cr,13.85 Cr,21.21 Cr,32.42 Cr
Ant-Man And The Wasp (English),13-Jul-18,5.50 Cr,19.30 Cr,27.60 Cr,34.22 Cr
For Here Or To Go?,6-Jul-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Play This,6-Jul-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Hanuman Vs Mahiravana,6-Jul-18,0 Cr N.A,0 Cr N.A,0.71 Cr,0.71 Cr
Delhi 47 Km.,6-Jul-18,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Sanju,29-Jun-18,34.75 Cr,120.06 Cr,202.51 Cr,342.53 Cr
Incredibles 2 (English),22-Jun-18,3.85 Cr,17.85 Cr,26.20 Cr,36.90 Cr
Hotel Kohinoor,22-Jun-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Race 3,15-Jun-18,28.50 Cr,103 Cr,140.74 Cr,166.40 Cr
Jurassic World: Fallen Kingdom (English),8-Jun-18,6.75 Cr,36.50 Cr,51.75 Cr,82.60 Cr
Krina,8-Jun-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Sansanahat,8-Jun-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Kaala Karikaalan,7-Jun-18,1.5 Cr,7 Cr,10.25 Cr,10.38 Cr
Bhavesh Joshi Superhero,1-Jun-18,0.30 Cr,0 Cr N.A,1.45 Cr,1.46 Cr
Maut Phir Aayegi,1-Jun-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Veere Di Wedding,1-Jun-18,10.70 Cr,36.52 Cr,56.96 Cr,81.39 Cr
Sweet Eighteen Plus,1-Jun-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Phamous,1-Jun-18,0 Cr N.A,0 Cr N.A,0.35 Cr,0.36 Cr
Bioscopewala,25-May-18,0 Cr N.A,0.25 Cr,0.50 Cr,0.55 Cr
Racket,25-May-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Parmanu – The Story Of Pokhran,25-May-18,4.82 Cr,20.78 Cr,35.41 Cr,65.89 Cr
One Night Out,25-May-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Falooda,18-May-18,0 Cr N.A,0 Cr N.A,0.006 Cr,0.006 Cr
Kuch Pal Pyar Ke,18-May-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
High Jack,18-May-18,0.06 Cr,0.24 Cr,0.34 Cr,0.34 Cr
Deadpool 2 (English),18-May-18,11.25 Cr,33.40 Cr,48.18 Cr,58.08 Cr
Khajoor Pe Atke,18-May-18,0.10 Cr,0.45 Cr,0.61 Cr,0.61 Cr
Angrezi Mein Kehte Hain,18-May-18,0.06 Cr,0.20 Cr,0.27 Cr,0.27 Cr
Meri Shaan Hai Vardi,11-May-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
The Past,11-May-18,0 Cr N.A,0 Cr N.A,0.05 Cr,0.06 Cr
Auto Romance in Mumbai,11-May-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Bhootwali Love Story,11-May-18,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Raazi,11-May-18,7.53 Cr,32.94 Cr,56.59 Cr,123.84 Cr
Hope Aur Hum,11-May-18,0 Cr N.A,0.12 Cr,0.17 Cr,0.18 Cr
Omerta,4-May-18,0.50 Cr,2.25 Cr,3.25 Cr,3.56 Cr
102 Not Out,4-May-18,3.52 Cr,16.65 Cr,27.70 Cr,52.045 Cr
Tishnagi,4-May-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Daas Dev,27-Apr-18,0.16 Cr,0.63 Cr,1.27 Cr,1.50 Cr
1946 Calcutta Killings,27-Apr-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Bhu Mafia,27-Apr-18,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Hamari Paltan,27-Apr-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Ishq Tera,27-Apr-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Avengers: Infinity War (English),27-Apr-18,31.30 Cr,94.30 Cr,156.64 Cr,227.43 Cr
Nanu Ki Jaanu,20-Apr-18,0.75 Cr,3.10 Cr,4 Cr,4.12 Cr
Beyond The Clouds,20-Apr-18,0.30 Cr,1.20 Cr,1.50 Cr,1.63 Cr
Shoot Out At Etawah Safari,13-Apr-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Mercury,13-Apr-18,0 Cr N.A,0 Cr N.A,0.32 Cr,0.32 Cr
October,13-Apr-18,4.25 Cr,18.25 Cr,26.55 Cr,39.06 Cr
Rampage (English),13-Apr-18,3.6 Cr,18.8 Cr,18.8 Cr,27.15 Cr
Blackmail,6-Apr-18,2.81 Cr,11.22 Cr,16.92 Cr,20.35 Cr
Missing,6-Apr-18,0.15 Cr,0.52 Cr,0.75 Cr,0.86 Cr
Baaghi 2,30-Mar-18,25.10 Cr,73.10 Cr,112.85 Cr,164.38 Cr
Pacific Rim – Uprising (English),23-Mar-18,0 Cr N.A,0 Cr N.A,5.80 Cr,6.15 Cr
Baa Baaa Black Sheep,23-Mar-18,0.10 Cr,0 Cr N.A,0.23 Cr,0.24 Cr
Pareshaan Parinda,23-Mar-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Love Money Gangster,23-Mar-18,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Lalluram,23-Mar-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Shaadi Teri Bajayenge Hum Band,23-Mar-18,0 Cr N.A,0 Cr N.A,0.12 Cr,0.13 Cr
Anmol Bhaiya,23-Mar-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Do Dilon Ki Madhoshiyaa,23-Mar-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Hichki,23-Mar-18,3.30 Cr,15.35 Cr,26.10 Cr,46.21 Cr
Raid,16-Mar-18,10.04 Cr,41.01 Cr,63.05 Cr,103.07 Cr
Raja Abroadiya,16-Mar-18,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Ramnagar UP 65,16-Mar-18,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Tomb Raider (English),9-Mar-18,0 Cr N.A,0 Cr N.A,5 Cr,5 Cr
Dil Juunglee,9-Mar-18,0.35 Cr,1 Cr,1.25 Cr,1.30 Cr
Hate Story IV,9-Mar-18,3.76 Cr,12.57 Cr,20.04 Cr,22.38 Cr
Note Pe Chot at 8/11,9-Mar-18,0 Cr N.A,0.37 Cr,0.50 Cr,0.50 Cr
3 Storeys,9-Mar-18,0.35 Cr,1.65 Cr,2.70 Cr,3.92 Cr
Hey Ram Hamne Gandhi Ko Maar Diya,2-Mar-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Billu Ustaad,2-Mar-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.04 Cr
Veerey Ki Wedding,2-Mar-18,0.75 Cr,2.25 Cr,2.95 Cr,2.98 Cr
Pari,2-Mar-18,4.36 Cr,15.34 Cr,22.75 Cr,28.96 Cr
Welcome To New York,23-Feb-18,0.60 Cr,1.80 Cr,2.30 Cr,2.38 Cr
Sonu Ke Titu Ki Sweety,23-Feb-18,6.42 Cr,26.57 Cr,45.94 Cr,108.95 Cr
Daddy’s Daughter,23-Feb-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Blue Jean Blues,16-Feb-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Aiyaary,16-Feb-18,3.36 Cr,11.70 Cr,16.14 Cr,18.22 Cr
Black Panther (English),16-Feb-18,5.60 Cr,19.35 Cr,29.97 Cr,52.53 Cr
Kuchh Bheege Alfaaz,16-Feb-18,0 Cr N.A,0 Cr N.A,0.12 Cr,0.12 Cr
Jaane Kyun De Yaaron,16-Feb-18,0 Cr N.A,0 Cr N.A,0.025 Cr,0.025 Cr
Downup The Exit 796,9-Feb-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Pad Man,9-Feb-18,10.26 Cr,40.05 Cr,62.87 Cr,81.82 Cr
Rati Kaamdev,2-Feb-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Kuldip Patwal: I Didn’t Do It !,2-Feb-18,0 Cr N.A,0 Cr N.A,0.05 Cr,0.05 Cr
Padmaavat,25-Jan-18,24 Cr,114 Cr,166.50 Cr,302.15 Cr
Expiry Date,24-Jan-18,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
My Birthday Song,19-Jan-18,0.05 Cr,0.15 Cr,0.30 Cr,0.33 Cr
Baba Ramsa Peer,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Vodka Diaries,19-Jan-18,0.30 Cr,0.98 Cr,1.15 Cr,1.29 Cr
Terror Strike,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Union Leader,19-Jan-18,0 Cr N.A,0 Cr N.A,0.07 Cr,0.09 Cr
Nirdosh,19-Jan-18,0.10 Cr,0.35 Cr,0.50 Cr,0.60 Cr
Hamara Tiranga,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Sanjana,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.006 Cr
Haq-E-Sailani,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Medal Pet Nahi Bharta,19-Jan-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.03 Cr
Shaheed-E-Azam,19-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
1921,12-Jan-18,1.56 Cr,6.45 Cr,11.5 Cr,15.94 Cr
Mukkabaaz,12-Jan-18,0.82 Cr,4.04 Cr,6.73 Cr,10.51 Cr
Kaalakaandi,12-Jan-18,1.25 Cr,3.85 Cr,5.77 Cr,6.34 Cr
Wo India Ka Shakespeare,12-Jan-18,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
The Post (English),12-Jan-18,0.23 Cr,1.17 Cr,1.95 Cr,4.17 Cr
Kabaddi,5-Jan-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Haseena,5-Jan-18,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Insidious: The Last Key (English),5-Jan-18,0 Cr N.A,0 Cr N.A,9.38 Cr,6.32 Cr
Good Newwz,27-Dec-19,17.56 Cr,65.99 Cr,127.90 Cr,205.14 Cr
Star Wars – The Rise of Skywalker (English),20-Dec-19,1.20 Cr,4.15 Cr,6.55 Cr,9.60 Cr
Dabangg 3,20-Dec-19,24.50 Cr,78.75 Cr,121.58 Cr,146.11 Cr
The Body,13-Dec-19,0.66 Cr,2.36 Cr,3.44 Cr,3.47 Cr
Mardaani 2,13-Dec-19,3.80 Cr,18.15 Cr,28.05 Cr,47.57 Cr
Mudda 370 J&K,13-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Unfriends,13-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Jumanji: The Next Level (English),13-Dec-19,6.20 Cr,24.65 Cr,35.21 Cr,63.04 Cr
Ab Har Dayara Tutega,13-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Phati Padi Hai Yaar,13-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Sound Of Water (Paani Ki Aawaz),13-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Sifar: A Gift Of Love,6-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Panipat,6-Dec-19,4.12 Cr,17.68 Cr,25.68 Cr,34.28 Cr
Chintu Ka Birthday,6-Dec-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Pati Patni Aur Woh,6-Dec-19,9.10 Cr,35.94 Cr,55.97 Cr,86.89 Cr
Commando 3,29-Nov-19,4.74 Cr,18.33 Cr,29.24 Cr,32.47 Cr
X Ray – The Inner Image,29-Nov-19,0 Cr N.A,0 Cr N.A,0.03 Cr,0.03 Cr
Luv U Turn,29-Nov-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Yeh Saali Aashiqui,29-Nov-19,0 Cr N.A,0 Cr N.A,0.68 Cr,0.76 Cr
Hotel Mumbai,29-Nov-19,1.08 Cr,4.81 Cr,7.21 Cr,9.38 Cr
Knives Out (English),29-Nov-19,0.25 Cr,1.40 Cr,2.30 Cr,5.88 Cr
Tony,29-Nov-19,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
Jiyo Baat Bahadur No. 1,29-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Pagalpanti,22-Nov-19,4.75 Cr,19.50 Cr,28.15 Cr,33.01 Cr
V For Victor,22-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Frozen 2 (English),22-Nov-19,3.35 Cr,19.10 Cr,25.40 Cr,47.03 Cr
Dosti Zindabad,22-Nov-19,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Bagpat Ka Dulha,15-Nov-19,0 Cr N.A,0 Cr N.A,0.006 Cr,0.006 Cr
Keep Safe Distance,15-Nov-19,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Marjaavaan,15-Nov-19,7.03 Cr,24.42 Cr,37.87 Cr,47.78 Cr
Lafange Nawab,15-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Motichoor Chaknachoor,15-Nov-19,0.30 Cr,1.35 Cr,2.05 Cr,2.07 Cr
Marrne Bhi Do Yaaron,15-Nov-19,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Ford V Ferrari (English),15-Nov-19,0.80 Cr,4.20 Cr,6.85 Cr,15.23 Cr
Charlie’s Angels (English),15-Nov-19,0.40 Cr,1.42 Cr,2.18 Cr,2.21 Cr
Hum Lenge Make In India Ka Sankalp,15-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Jhalki,14-Nov-19,0 Cr N.A,0 Cr N.A,0.05 Cr,0.06 Cr
Pagal Dil Tere Liye,8-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Mr. Black Mr. White,8-Nov-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Bala,8-Nov-19,10.15 Cr,43.95 Cr,72.24 Cr,116.81 Cr
Bypass Road,8-Nov-19,0.18 Cr,0.54 Cr,1.13 Cr,1.16 Cr
Satellite Shankar,8-Nov-19,0.10 Cr,0.32 Cr,0.53 Cr,0.54 Cr
Ekta,8-Nov-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Laughter Ke Chapter,8-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Pahala Pahala Pyar,6-Nov-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Ujda Chaman,1-Nov-19,1.75 Cr,7 Cr,10 Cr,10.51 Cr
Terminator: Dark Fate (English),1-Nov-19,2.85 Cr,9.60 Cr,13.50 Cr,15.75 Cr
Saand Ki Aankh,25-Oct-19,0.48 Cr,2.47 Cr,11.68 Cr,23.40 Cr
Zindagi Tumse,25-Oct-19,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
Made In China,25-Oct-19,0.90 Cr,3.05 Cr,9 Cr,9.63 Cr
Housefull 4,25-Oct-19,16.50 Cr,46.50 Cr,129.35 Cr,194.60 Cr
Love Shots,18-Oct-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Jacqueline I Am Coming,18-Oct-19,0.01 Cr,0.03 Cr,0.04 Cr,0.04 Cr
#Yaaram,18-Oct-19,0 Cr N.A,0 Cr N.A,0.03 Cr,0.03 Cr
Officer Arjun Singh IPS,18-Oct-19,0.01 Cr,0.03 Cr,0.04 Cr,0.04 Cr
Life Mein Time Nahi Hai Kisi Ko,18-Oct-19,0.01 Cr,0.03 Cr,0.04 Cr,0.04 Cr
Junction Varanasi,18-Oct-19,0.01 Cr,0.03 Cr,0.04 Cr,0.04 Cr
Kirket,18-Oct-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Gumnaami,18-Oct-19,0.01 Cr,0.03 Cr,0.04 Cr,0.04 Cr
P Se Pyaar F Se Faraar,18-Oct-19,0.20 Cr,0.61 Cr,0.91 Cr,0.91 Cr
Laal Kaptaan,18-Oct-19,0.50 Cr,1.70 Cr,2.36 Cr,2.36 Cr
Maleficent (English),18-Oct-19,0.70 Cr,3.65 Cr,5.25 Cr,5.25 Cr
Love In College,18-Oct-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Ghost,18-Oct-19,0.30 Cr,1.25 Cr,1.82 Cr,1.82 Cr
The Sky Is Pink,11-Oct-19,2.50 Cr,10.40 Cr,15.15 Cr,20.03 Cr
The Destiny Samaj of Banjaara,11-Oct-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
War,2-Oct-19,53.35 Cr,166.25 Cr,238.35 Cr,317.91 Cr
Syeraa Narasimha Reddy,2-Oct-19,2.18 Cr,6.23 Cr,7.93 Cr,7.93 Cr
Joker (English),2-Oct-19,5.15 Cr,23 Cr,37.90 Cr,67.95 Cr
Main Zaroor Aaunga,27-Sep-19,0 Cr N.A,0 Cr N.A,0.17 Cr,0.19 Cr
Little Baby,27-Sep-19,0 Cr N.A,0 Cr N.A,0.03 Cr,0.03 Cr
Kandy Twist – The Crime Story,27-Sep-19,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Hum To Huye Hain Tumhare,27-Sep-19,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Kanchani Aaj Bhi Hai,27-Sep-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Prassthanam,20-Sep-19,0.75 Cr,2.75 Cr,4.25 Cr,4.75 Cr
Rambo: Last Blood (English),20-Sep-19,0.90 Cr,3.25 Cr,4.60 Cr,6.35 Cr
Pal Pal Dil Ke Paas,20-Sep-19,1.15 Cr,4.15 Cr,6.25 Cr,7.95 Cr
Nikka Zaildar 3 (Punjabi),20-Sep-19,1.30 Cr,4.80 Cr,6.90 Cr,6.90 Cr
Cypher – Shoonya Se Shikhar Tak,20-Sep-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
The Zoya Factor,20-Sep-19,0.70 Cr,2.30 Cr,2.90 Cr,3.12 Cr
Section 375,13-Sep-19,1.45 Cr,5.80 Cr,8.50 Cr,12.35 Cr
Dream Girl,13-Sep-19,10.05 Cr,44.57 Cr,72.20 Cr,142.26 Cr
College Ke Din Chaar,13-Sep-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Pehlwaan,12-Sep-19,0 Cr N.A,0 Cr N.A,0.50 Cr,0.60 Cr
Fairr in Love,6-Sep-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Chhichhore,6-Sep-19,7.32 Cr,35.98 Cr,68.83 Cr,153.09 Cr
It Chapter Two (English),6-Sep-19,2.50 Cr,9.75 Cr,14.15 Cr,15.90 Cr
Saaho,30-Aug-19,24.40 Cr,79.08 Cr,116.03 Cr,142.95 Cr
Crawl (English),23-Aug-19,0 Cr N.A,0 Cr N.A,1 Cr,1 Cr
The Angry Birds Movie 2 (English),23-Aug-19,0.90 Cr,5 Cr,6.45 Cr,7.05 Cr
Once Upon A Time In Hollywood (English),15-Aug-19,0 Cr N.A,5 Cr,0 Cr N.A,5.35 Cr
Berozgaar Leader,15-Aug-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Batla House,15-Aug-19,14 Cr,43.5 Cr,58 Cr,87.22 Cr
Mission Mangal,15-Aug-19,29.16 Cr,97.56 Cr,128.16 Cr,202.98 Cr
Pranaam,9-Aug-19,0 Cr N.A,0 Cr N.A,0.21 Cr,0.21 Cr
Chicken Curry Law,9-Aug-19,0 Cr N.A,0 Cr N.A,0.11 Cr,0.12 Cr
Mushkil – Fear Behind You,9-Aug-19,0 Cr N.A,0 Cr N.A,0.23 Cr,0.23 Cr
Jabariya Jodi,9-Aug-19,2.70 Cr,10.90 Cr,16.20 Cr,16.33 Cr
Chase – No Mercy to Crime,2-Aug-19,0 Cr N.A,0 Cr N.A,0.02 Cr,0.02 Cr
Khandaani Shafakhana,2-Aug-19,0.75 Cr,2.75 Cr,3.80 Cr,3.83 Cr
Fast And Furious Presents: Hobbs And Shaw (English),2-Aug-19,13.15 Cr,42.90 Cr,59.15 Cr,75.85 Cr
Arjun Patiala,26-Jul-19,1.25 Cr,4.85 Cr,6.55 Cr,6.62 Cr
Judgementall Hai Kya,26-Jul-19,4.50 Cr,19 Cr,26.85 Cr,33.11 Cr
Meri Bhagyalaxmi,19-Jul-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Penalty,19-Jul-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Hyderabad Nawabs 2,19-Jul-19,0 Cr N.A,0 Cr N.A,0.06 Cr,0.06 Cr
The Lion King (English),19-Jul-19,11.06 Cr,54.75 Cr,81.57 Cr,158.71 Cr
Jhootha Kahin Ka,19-Jul-19,0.92 Cr,1.87 Cr,2.57 Cr,2.57 Cr
Family Of Thakurganj,19-Jul-19,0 Cr N.A,0 Cr N.A,0.25 Cr,0.25 Cr
Wig Boss,19-Jul-19,0 Cr N.A,0 Cr N.A,0.002 Cr,0.002 Cr
Super 30,12-Jul-19,11.83 Cr,50.76 Cr,75.85 Cr,146.94 Cr
Ruka Village,12-Jul-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Marudhar Express,5-Jul-19,0.01 Cr,0.03 Cr,0.05 Cr,0.05 Cr
Malaal,5-Jul-19,0.45 Cr,1.70 Cr,2.50 Cr,2.54 Cr
Hume Tumse Pyaar Kitna,5-Jul-19,0.05 Cr,0.15 Cr,0.20 Cr,0.20 Cr
One Day: Justice Delivered,5-Jul-19,0.10 Cr,0.30 Cr,0.40 Cr,0.40 Cr
Spider-Man: Far From Home (English),4-Jul-19,8.50 Cr,46.66 Cr,61.06 Cr,86.11 Cr
Dance Is King,28-Jun-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Article 15,28-Jun-19,5.02 Cr,20.04 Cr,34.21 Cr,65.45 Cr
Annabelle Comes Home (English),26-Jun-19,4 Cr,17.95 Cr,25.25 Cr,30.08 Cr
Belaagam,21-Jun-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
NCR,21-Jun-19,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
The Great Indian Escape – Khulay Asmaan Ki Oar,21-Jun-19,0 Cr N.A,0 Cr N.A,0.02 Cr,0.04 Cr
Toy Story 4 (English),21-Jun-19,0.72 Cr,4.24 Cr,6.02 Cr,7.59 Cr
Kabir Singh,21-Jun-19,20.21 Cr,70.83 Cr,134.42 Cr,278.24 Cr
Code Blue – Tlaaq,21-Jun-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Khamoshi,14-Jun-19,0.11 Cr,0.36 Cr,0.65 Cr,0.67 Cr
Khel Khallas,14-Jun-19,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Men in Black: International (English),14-Jun-19,3.40 Cr,10.90 Cr,15.60 Cr,17.60 Cr
Rescue,14-Jun-19,0 Cr N.A,0 Cr N.A,0.003 Cr,0.003 Cr
Kissebaaz,14-Jun-19,0 Cr N.A,0 Cr N.A,0.14 Cr,0.15 Cr
Game Over,14-Jun-19,0.38 Cr,2 Cr,3.46 Cr,4.69 Cr
The Secret Life of Pets 2 (English),7-Jun-19,0.40 Cr,1.90 Cr,2.73 Cr,3.18 Cr
Bharat,5-Jun-19,42.30 Cr,150.10 Cr,180.05 Cr,211.07 Cr
Dark Phoenix (English),5-Jun-19,3.10 Cr,13.28 Cr,17.3 Cr,18.95 Cr
Nakkash,31-May-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Shuruaat Ka Twist,31-May-19,0 Cr N.A,0 Cr N.A,0.01 Cr,0.01 Cr
Godzilla 2 – King of the Monsters (English),31-May-19,3.25 Cr,15.25 Cr,20.33 Cr,25.30 Cr
Chaturnath,31-May-19,0 Cr N.A,0 Cr N.A,0.004 Cr,0.004 Cr
